ensembl_gene_id,gene_symbol,druggability_tier,small_mol_druggable,bio_druggable,adme_gene
ENSG00000117586,TNFSF4,Tier 1,N,Y,N
ENSG00000117594,HSD11B1,Tier 1,Y,N,Y
ENSG00000117601,SERPINC1,Tier 1,Y,Y,N
ENSG00000117650,NEK2,Tier 1,Y,N,N
ENSG00000117676,RPS6KA1,Tier 1,Y,N,N
ENSG00000117971,CHRNB4,Tier 1,Y,N,N
ENSG00000117984,CTSD,Tier 1,Y,Y,N
ENSG00000118046,STK11,Tier 1,Y,N,N
ENSG00000118058,KMT2A,Tier 1,Y,N,N
ENSG00000118113,MMP8,Tier 1,Y,Y,N
ENSG00000118271,TTR,Tier 1,Y,Y,N
ENSG00000118298,CA14,Tier 1,Y,N,N
ENSG00000118432,CNR1,Tier 1,Y,N,N
ENSG00000118514,ALDH8A1,Tier 1,Y,N,Y
ENSG00000118523,CTGF,Tier 1,N,Y,N
ENSG00000118777,ABCG2,Tier 1,Y,Y,Y
ENSG00000118785,SPP1,Tier 1,N,Y,N
ENSG00000118971,CCND2,Tier 1,Y,N,N
ENSG00000119004,CYP20A1,Tier 1,Y,N,Y
ENSG00000119535,CSF3R,Tier 1,N,Y,N
ENSG00000119630,PGF,Tier 1,N,Y,N
ENSG00000119699,TGFB3,Tier 1,N,Y,N
ENSG00000119711,ALDH6A1,Tier 1,Y,N,Y
ENSG00000119715,ESRRB,Tier 1,Y,N,N
ENSG00000119772,DNMT3A,Tier 1,Y,N,N
ENSG00000119782,FKBP1B,Tier 1,Y,N,N
ENSG00000119888,EPCAM,Tier 1,N,Y,N
ENSG00000120088,CRHR1,Tier 1,Y,Y,N
ENSG00000120156,TEK,Tier 1,Y,Y,N
ENSG00000120217,CD274,Tier 1,N,Y,N
ENSG00000120235,IFNA6,Tier 1,N,Y,N
ENSG00000120242,IFNA8,Tier 1,N,Y,N
ENSG00000120251,GRIA2,Tier 1,Y,Y,N
ENSG00000120659,TNFSF11,Tier 1,N,Y,N
ENSG00000120889,TNFRSF10B,Tier 1,N,Y,N
ENSG00000120899,PTK2B,Tier 1,Y,N,N
ENSG00000120903,CHRNA2,Tier 1,Y,Y,N
ENSG00000120907,ADRA1A,Tier 1,Y,Y,N
ENSG00000120915,EPHX2,Tier 1,Y,N,Y
ENSG00000120949,TNFRSF8,Tier 1,N,Y,N
ENSG00000121270,ABCC11,Tier 1,Y,N,Y
ENSG00000121351,IAPP,Tier 1,N,Y,Y
ENSG00000121361,KCNJ8,Tier 1,Y,Y,N
ENSG00000121594,CD80,Tier 1,N,Y,N
ENSG00000121691,CAT,Tier 1,N,N,Y
ENSG00000121764,HCRTR1,Tier 1,Y,Y,N
ENSG00000121807,CCR2,Tier 1,Y,Y,N
ENSG00000121853,GHSR,Tier 1,Y,Y,N
ENSG00000121879,PIK3CA,Tier 1,Y,N,N
ENSG00000121933,ADORA3,Tier 1,Y,Y,N
ENSG00000121966,CXCR4,Tier 1,Y,Y,N
ENSG00000122025,FLT3,Tier 1,Y,Y,N
ENSG00000122194,PLG,Tier 1,Y,Y,N
ENSG00000122420,PTGFR,Tier 1,Y,Y,N
ENSG00000122641,INHBA,Tier 1,N,Y,N
ENSG00000122863,CHST3,Tier 1,N,N,Y
ENSG00000122966,CIT,Tier 1,Y,N,N
ENSG00000123143,PKN1,Tier 1,Y,N,N
ENSG00000123179,EBPL,Tier 1,Y,N,N
ENSG00000123191,ATP7B,Tier 1,N,N,Y
ENSG00000123201,GUCY1B2,Tier 1,Y,N,N
ENSG00000123374,CDK2,Tier 1,Y,N,N
ENSG00000123505,AMD1,Tier 1,Y,N,N
ENSG00000123561,SERPINA7,Tier 1,N,Y,Y
ENSG00000123595,RAB9A,Tier 1,Y,N,N
ENSG00000124089,MC3R,Tier 1,Y,Y,N
ENSG00000124302,CHST8,Tier 1,N,N,Y
ENSG00000124574,ABCC10,Tier 1,Y,N,Y
ENSG00000124588,NQO2,Tier 1,Y,N,N
ENSG00000124610,HIST1H1A,Tier 1,N,Y,N
ENSG00000124784,RIOK1,Tier 1,Y,N,N
ENSG00000124882,EREG,Tier 1,N,Y,N
ENSG00000125255,SLC10A2,Tier 1,Y,N,Y
ENSG00000125257,ABCC4,Tier 1,Y,N,Y
ENSG00000125384,PTGER2,Tier 1,Y,N,N
ENSG00000125388,GRK4,Tier 1,Y,N,N
ENSG00000125498,KIR2DL1,Tier 1,N,Y,N
ENSG00000125508,SRMS,Tier 1,Y,N,N
ENSG00000125510,OPRL1,Tier 1,Y,Y,N
ENSG00000125538,IL1B,Tier 1,N,Y,N
ENSG00000125551,PLGLB2,Tier 1,N,Y,Y
ENSG00000125675,GRIA3,Tier 1,Y,Y,N
ENSG00000125726,CD70,Tier 1,N,Y,N
ENSG00000125735,TNFSF14,Tier 1,N,Y,N
ENSG00000125834,STK35,Tier 1,Y,N,N
ENSG00000125910,S1PR4,Tier 1,Y,Y,N
ENSG00000126067,PSMB2,Tier 1,Y,N,N
ENSG00000126218,F10,Tier 1,Y,Y,N
ENSG00000126266,FFAR1,Tier 1,Y,N,N
ENSG00000126351,THRA,Tier 1,Y,N,N
ENSG00000126583,PRKCG,Tier 1,Y,N,N
ENSG00000126895,AVPR2,Tier 1,Y,Y,N
ENSG00000126934,MAP2K2,Tier 1,Y,N,N
ENSG00000127318,IL22,Tier 1,N,Y,N
ENSG00000127334,DYRK2,Tier 1,Y,N,N
ENSG00000127554,GFER,Tier 1,Y,Y,N
ENSG00000127948,POR,Tier 1,N,N,Y
ENSG00000128039,SRD5A3,Tier 1,Y,N,N
ENSG00000128052,KDR,Tier 1,Y,Y,N
ENSG00000128059,PPAT,Tier 1,Y,N,N
ENSG00000128271,ADORA2A,Tier 1,Y,Y,N
ENSG00000128602,SMO,Tier 1,Y,N,N
ENSG00000128655,PDE11A,Tier 1,Y,N,N
ENSG00000128829,EIF2AK4,Tier 1,Y,N,N
ENSG00000128917,DLL4,Tier 1,N,Y,N
ENSG00000128918,ALDH1A2,Tier 1,Y,N,Y
ENSG00000129214,SHBG,Tier 1,Y,Y,N
ENSG00000129315,CCNT1,Tier 1,Y,N,N
ENSG00000129484,PARP2,Tier 1,Y,N,N
ENSG00000129521,EGLN3,Tier 1,Y,N,N
ENSG00000130304,SLC27A1,Tier 1,Y,N,Y
ENSG00000130413,STK33,Tier 1,Y,N,N
ENSG00000130540,SULT4A1,Tier 1,N,N,Y
ENSG00000130649,CYP2E1,Tier 1,Y,N,Y
ENSG00000130669,PAK4,Tier 1,Y,N,N
ENSG00000130702,LAMA5,Tier 1,N,Y,N
ENSG00000130758,MAP3K10,Tier 1,Y,N,N
ENSG00000130816,DNMT1,Tier 1,Y,N,N
ENSG00000131023,LATS1,Tier 1,Y,N,N
ENSG00000131269,ABCB7,Tier 1,N,N,Y
ENSG00000131389,SLC6A6,Tier 1,Y,N,Y
ENSG00000131471,AOC3,Tier 1,Y,Y,N
ENSG00000131686,CA6,Tier 1,Y,Y,N
ENSG00000131747,TOP2A,Tier 1,Y,N,N
ENSG00000131759,RARA,Tier 1,Y,N,N
ENSG00000131781,FMO5,Tier 1,N,N,Y
ENSG00000132155,RAF1,Tier 1,Y,N,N
ENSG00000132170,PPARG,Tier 1,Y,N,Y
ENSG00000132329,RAMP1,Tier 1,Y,Y,N
ENSG00000132356,PRKAA1,Tier 1,Y,N,N
ENSG00000132437,DDC,Tier 1,Y,N,N
ENSG00000132639,SNAP25,Tier 1,N,Y,N
ENSG00000132671,SSTR4,Tier 1,Y,Y,N
ENSG00000132681,ATP1A4,Tier 1,Y,N,N
ENSG00000132746,ALDH3B2,Tier 1,N,N,Y
ENSG00000132964,CDK8,Tier 1,Y,N,N
ENSG00000132965,ALOX5AP,Tier 1,Y,N,N
ENSG00000133019,CHRM3,Tier 1,Y,Y,N
ENSG00000133059,DSTYK,Tier 1,Y,N,N
ENSG00000133083,DCLK1,Tier 1,Y,N,N
ENSG00000133101,CCNA1,Tier 1,Y,N,N
ENSG00000133216,EPHB2,Tier 1,Y,N,N
ENSG00000133433,GSTT2B,Tier 1,N,N,Y
ENSG00000133731,IMPA1,Tier 1,Y,N,N
ENSG00000133742,CA1,Tier 1,Y,N,N
ENSG00000134057,CCNB1,Tier 1,Y,N,N
ENSG00000134058,CDK7,Tier 1,Y,N,N
ENSG00000134184,GSTM1,Tier 1,N,N,Y
ENSG00000134201,GSTM5,Tier 1,N,N,Y
ENSG00000134202,GSTM3,Tier 1,N,N,Y
ENSG00000134259,NGF,Tier 1,Y,Y,N
ENSG00000134318,ROCK2,Tier 1,Y,N,N
ENSG00000134352,IL6ST,Tier 1,N,Y,N
ENSG00000134460,IL2RA,Tier 1,N,Y,N
ENSG00000134489,HRH4,Tier 1,Y,Y,N
ENSG00000134538,SLCO1B1,Tier 1,Y,N,Y
ENSG00000134602,,Tier 1,Y,N,N
ENSG00000134640,MTNR1B,Tier 1,Y,N,N
ENSG00000134716,CYP2J2,Tier 1,Y,N,Y
ENSG00000134780,DAGLA,Tier 1,Y,N,N
ENSG00000134853,PDGFRA,Tier 1,Y,Y,N
ENSG00000135047,CTSL,Tier 1,Y,N,N
ENSG00000135090,TAOK3,Tier 1,Y,N,N
ENSG00000135226,UGT2B28,Tier 1,N,N,Y
ENSG00000135250,SRPK2,Tier 1,Y,N,N
ENSG00000135312,HTR1B,Tier 1,Y,Y,N
ENSG00000135318,NT5E,Tier 1,Y,Y,N
ENSG00000135333,EPHA7,Tier 1,Y,N,N
ENSG00000135341,MAP3K7,Tier 1,Y,N,N
ENSG00000135446,CDK4,Tier 1,Y,N,N
ENSG00000135503,ACVR1B,Tier 1,Y,N,N
ENSG00000135605,TEC,Tier 1,Y,N,N
ENSG00000135679,MDM2,Tier 1,Y,N,N
ENSG00000135702,CHST5,Tier 1,N,N,Y
ENSG00000135766,EGLN1,Tier 1,Y,N,N
ENSG00000135821,GLUL,Tier 1,Y,N,N
ENSG00000135862,LAMC1,Tier 1,N,Y,N
ENSG00000135902,CHRND,Tier 1,Y,Y,N
ENSG00000135914,HTR2B,Tier 1,Y,Y,N
ENSG00000135929,CYP27A1,Tier 1,Y,N,Y
ENSG00000136160,EDNRB,Tier 1,Y,Y,N
ENSG00000136213,CHST12,Tier 1,N,N,Y
ENSG00000136235,GPNMB,Tier 1,N,Y,N
ENSG00000136244,IL6,Tier 1,N,Y,N
ENSG00000136531,SCN2A,Tier 1,Y,N,N
ENSG00000136546,SCN7A,Tier 1,Y,N,N
ENSG00000136573,BLK,Tier 1,Y,N,N
ENSG00000136634,IL10,Tier 1,N,Y,N
ENSG00000136807,CDK9,Tier 1,Y,N,N
ENSG00000136875,PRPF4,Tier 1,Y,N,N
ENSG00000136928,GABBR2,Tier 1,Y,N,N
ENSG00000136943,CTSV,Tier 1,Y,N,N
ENSG00000137070,IL11RA,Tier 1,N,Y,N
ENSG00000137124,ALDH1B1,Tier 1,Y,N,Y
ENSG00000137193,PIM1,Tier 1,Y,N,N
ENSG00000137204,SLC22A7,Tier 1,Y,N,Y
ENSG00000137252,HCRTR2,Tier 1,Y,Y,N
ENSG00000137267,TUBB2A,Tier 1,Y,Y,N
ENSG00000137275,RIPK1,Tier 1,Y,N,N
ENSG00000137285,TUBB2B,Tier 1,Y,Y,N
ENSG00000137364,TPMT,Tier 1,Y,N,Y
ENSG00000137491,SLCO2B1,Tier 1,Y,N,Y
ENSG00000137509,PRCP,Tier 1,Y,N,N
ENSG00000137571,SLCO5A1,Tier 1,N,N,Y
ENSG00000137573,SULF1,Tier 1,N,Y,Y
ENSG00000137673,MMP7,Tier 1,Y,Y,N
ENSG00000137745,MMP13,Tier 1,Y,Y,N
ENSG00000137752,CASP1,Tier 1,Y,N,N
ENSG00000137764,MAP2K5,Tier 1,Y,N,N
ENSG00000137843,PAK6,Tier 1,Y,N,N
ENSG00000137845,ADAM10,Tier 1,Y,Y,N
ENSG00000137860,SLC28A2,Tier 1,N,N,Y
ENSG00000137869,CYP19A1,Tier 1,Y,N,Y
ENSG00000137975,CLCA2,Tier 1,Y,Y,N
ENSG00000138039,LHCGR,Tier 1,Y,Y,N
ENSG00000138061,CYP1B1,Tier 1,Y,N,Y
ENSG00000138074,SLC5A6,Tier 1,N,N,Y
ENSG00000138109,CYP2C9,Tier 1,Y,N,Y
ENSG00000138115,CYP2C8,Tier 1,Y,N,Y
ENSG00000138160,KIF11,Tier 1,Y,N,N
ENSG00000138356,AOX1,Tier 1,Y,N,Y
ENSG00000138379,MSTN,Tier 1,N,Y,N
ENSG00000138435,CHRNA1,Tier 1,Y,Y,N
ENSG00000138448,ITGAV,Tier 1,Y,Y,N
ENSG00000138449,SLC40A1,Tier 1,N,Y,N
ENSG00000138613,APH1B,Tier 1,Y,N,N
ENSG00000138669,PRKG2,Tier 1,Y,N,N
ENSG00000138685,FGF2,Tier 1,Y,Y,N
ENSG00000138696,BMPR1B,Tier 1,Y,Y,N
ENSG00000138735,PDE5A,Tier 1,Y,N,N
ENSG00000138756,BMP2K,Tier 1,Y,N,N
ENSG00000138769,CDKL2,Tier 1,Y,N,N
ENSG00000138780,GSTCD,Tier 1,N,N,Y
ENSG00000138814,PPP3CA,Tier 1,Y,N,N
ENSG00000138823,MTTP,Tier 1,Y,N,N
ENSG00000139155,SLCO1C1,Tier 1,N,N,Y
ENSG00000139567,ACVRL1,Tier 1,Y,Y,N
ENSG00000139610,CELA1,Tier 1,Y,Y,N
ENSG00000139625,MAP3K12,Tier 1,Y,N,N
ENSG00000139626,ITGB7,Tier 1,Y,Y,N
ENSG00000139874,SSTR1,Tier 1,Y,Y,N
ENSG00000140009,ESR2,Tier 1,Y,N,N
ENSG00000140443,IGF1R,Tier 1,Y,Y,N
ENSG00000140459,CYP11A1,Tier 1,Y,N,Y
ENSG00000140465,CYP1A1,Tier 1,Y,N,Y
ENSG00000140474,ULK3,Tier 1,Y,N,N
ENSG00000140505,CYP1A2,Tier 1,Y,N,Y
ENSG00000140538,NTRK3,Tier 1,Y,Y,N
ENSG00000140675,SLC5A2,Tier 1,Y,N,N
ENSG00000140795,MYLK3,Tier 1,Y,N,N
ENSG00000140798,ABCC12,Tier 1,Y,N,Y
ENSG00000140835,CHST4,Tier 1,N,N,Y
ENSG00000140992,PDPK1,Tier 1,Y,N,N
ENSG00000141458,NPC1,Tier 1,Y,N,N
ENSG00000141503,MINK1,Tier 1,Y,N,N
ENSG00000141510,TP53,Tier 1,Y,N,N
ENSG00000141551,CSNK1D,Tier 1,Y,N,N
ENSG00000141720,PIP4K2B,Tier 1,Y,N,N
ENSG00000141736,ERBB2,Tier 1,Y,Y,N
ENSG00000141744,PNMT,Tier 1,Y,N,Y
ENSG00000142002,DPP9,Tier 1,Y,N,N
ENSG00000142166,IFNAR1,Tier 1,N,Y,N
ENSG00000142168,SOD1,Tier 1,N,Y,Y
ENSG00000142178,SIK1,Tier 1,Y,N,N
ENSG00000142192,APP,Tier 1,Y,Y,N
ENSG00000142208,AKT1,Tier 1,Y,N,N
ENSG00000142319,SLC6A3,Tier 1,Y,N,N
ENSG00000142494,SLC47A1,Tier 1,Y,N,Y
ENSG00000142583,SLC2A5,Tier 1,N,N,Y
ENSG00000142627,EPHA2,Tier 1,Y,N,N
ENSG00000142731,PLK4,Tier 1,Y,N,N
ENSG00000142973,CYP4B1,Tier 1,Y,N,Y
ENSG00000143149,ALDH9A1,Tier 1,Y,N,Y
ENSG00000143167,GPA33,Tier 1,N,Y,N
ENSG00000143171,RXRG,Tier 1,Y,N,N
ENSG00000143198,MGST3,Tier 1,N,N,Y
ENSG00000143217,PVRL4,Tier 1,N,Y,N
ENSG00000143257,NR1I3,Tier 1,Y,N,Y
ENSG00000143322,ABL2,Tier 1,Y,N,N
ENSG00000143365,RORC,Tier 1,Y,N,N
ENSG00000143387,CTSK,Tier 1,Y,N,N
ENSG00000143398,PIP5K1A,Tier 1,Y,N,N
ENSG00000143437,ARNT,Tier 1,N,N,Y
ENSG00000143466,IKBKE,Tier 1,Y,N,N
ENSG00000143498,TAF1A,Tier 1,Y,N,N
ENSG00000143799,PARP1,Tier 1,Y,N,N
ENSG00000143801,PSEN2,Tier 1,Y,N,N
ENSG00000143819,EPHX1,Tier 1,N,N,Y
ENSG00000143839,REN,Tier 1,Y,Y,N
ENSG00000143851,PTPN7,Tier 1,Y,N,N
ENSG00000144230,GPR17,Tier 1,Y,Y,N
ENSG00000144285,SCN1A,Tier 1,Y,N,N
ENSG00000144481,TRPM8,Tier 1,Y,N,N
ENSG00000144671,SLC22A14,Tier 1,Y,N,Y
ENSG00000144852,NR1I2,Tier 1,Y,N,Y
ENSG00000144891,AGTR1,Tier 1,Y,Y,N
ENSG00000145242,EPHA5,Tier 1,Y,Y,N
ENSG00000145321,GC,Tier 1,Y,Y,N
ENSG00000145349,CAMK2D,Tier 1,Y,N,N
ENSG00000145386,CCNA2,Tier 1,Y,N,N
ENSG00000145545,SRD5A1,Tier 1,Y,N,N
ENSG00000145777,TSLP,Tier 1,N,Y,N
ENSG00000145839,IL9,Tier 1,N,Y,N
ENSG00000145863,GABRA6,Tier 1,Y,Y,N
ENSG00000145864,GABRB2,Tier 1,Y,Y,N
ENSG00000145888,GLRA1,Tier 1,Y,Y,N
ENSG00000145949,MYLK4,Tier 1,Y,N,N
ENSG00000146070,PLA2G7,Tier 1,Y,Y,N
ENSG00000146233,CYP39A1,Tier 1,N,N,Y
ENSG00000146242,TPBG,Tier 1,Y,Y,N
ENSG00000146399,TAAR1,Tier 1,Y,Y,N
ENSG00000146477,SLC22A3,Tier 1,Y,N,Y
ENSG00000146648,EGFR,Tier 1,Y,Y,N
ENSG00000146872,TLK2,Tier 1,Y,N,N
ENSG00000146904,EPHA1,Tier 1,Y,N,N
ENSG00000147082,CCNB3,Tier 1,Y,N,N
ENSG00000147099,HDAC8,Tier 1,Y,N,N
ENSG00000147119,CHST7,Tier 1,N,N,Y
ENSG00000147155,EBP,Tier 1,Y,N,N
ENSG00000147246,HTR2C,Tier 1,Y,Y,N
ENSG00000147257,GPC3,Tier 1,N,Y,N
ENSG00000147576,ADHFE1,Tier 1,N,N,Y
ENSG00000147873,IFNA5,Tier 1,N,Y,N
ENSG00000147955,SIGMAR1,Tier 1,Y,N,N
ENSG00000148053,NTRK2,Tier 1,Y,Y,N
ENSG00000148154,UGCG,Tier 1,Y,N,N
ENSG00000148344,PTGES,Tier 1,Y,N,N
ENSG00000148400,NOTCH1,Tier 1,Y,Y,N
ENSG00000148408,CACNA1B,Tier 1,Y,Y,N
ENSG00000148660,CAMK2G,Tier 1,Y,N,N
ENSG00000148680,HTR7,Tier 1,Y,Y,N
ENSG00000148795,CYP17A1,Tier 1,Y,N,Y
ENSG00000148834,GSTO1,Tier 1,N,N,Y
ENSG00000148848,ADAM12,Tier 1,Y,Y,N
ENSG00000149269,PAK1,Tier 1,Y,N,N
ENSG00000149294,NCAM1,Tier 1,N,Y,N
ENSG00000149295,DRD2,Tier 1,Y,Y,N
ENSG00000149305,HTR3B,Tier 1,Y,N,N
ENSG00000149403,GRIK4,Tier 1,Y,N,N
ENSG00000149452,SLC22A8,Tier 1,Y,N,Y
ENSG00000149554,CHEK1,Tier 1,Y,N,N
ENSG00000149742,SLC22A9,Tier 1,Y,N,Y
ENSG00000149968,MMP3,Tier 1,Y,Y,N
ENSG00000150093,ITGB1,Tier 1,Y,Y,N
ENSG00000150337,FCGR1A,Tier 1,N,Y,N
ENSG00000150457,LATS2,Tier 1,Y,N,N
ENSG00000150540,HNMT,Tier 1,Y,N,Y
ENSG00000150593,PDCD4,Tier 1,Y,N,N
ENSG00000150594,ADRA2A,Tier 1,Y,Y,N
ENSG00000150782,IL18,Tier 1,N,Y,N
ENSG00000151067,CACNA1C,Tier 1,Y,N,N
ENSG00000151090,THRB,Tier 1,Y,N,N
ENSG00000151224,MAT1A,Tier 1,N,N,Y
ENSG00000151247,EIF4E,Tier 1,Y,N,N
ENSG00000151422,FER,Tier 1,Y,N,N
ENSG00000151577,DRD3,Tier 1,Y,Y,N
ENSG00000151617,EDNRA,Tier 1,Y,Y,N
ENSG00000151623,NR3C2,Tier 1,Y,N,N
ENSG00000151665,PIGF,Tier 1,N,Y,N
ENSG00000151694,ADAM17,Tier 1,Y,Y,N
ENSG00000151834,GABRA2,Tier 1,Y,Y,N
ENSG00000152270,PDE3B,Tier 1,Y,N,Y
ENSG00000152578,GRIA4,Tier 1,Y,Y,N
ENSG00000152601,MBNL1,Tier 1,Y,N,N
ENSG00000152822,GRM1,Tier 1,Y,N,N
ENSG00000153208,MERTK,Tier 1,Y,Y,N
ENSG00000153253,SCN3A,Tier 1,Y,N,N
ENSG00000153923,CLCA3P,Tier 1,Y,N,N
ENSG00000153956,CACNA2D1,Tier 1,Y,N,N
ENSG00000154080,CHST9,Tier 1,N,Y,Y
ENSG00000154188,ANGPT1,Tier 1,N,Y,N
ENSG00000154229,PRKCA,Tier 1,Y,N,N
ENSG00000154310,TNIK,Tier 1,Y,N,N
ENSG00000154928,EPHB1,Tier 1,Y,Y,N
ENSG00000155111,CDK19,Tier 1,Y,N,N
ENSG00000155380,SLC16A1,Tier 1,Y,N,Y
ENSG00000155465,SLC7A7,Tier 1,N,N,Y
ENSG00000155511,GRIA1,Tier 1,Y,Y,N
ENSG00000156006,NAT2,Tier 1,N,N,Y
ENSG00000156096,UGT2B4,Tier 1,N,Y,Y
ENSG00000156103,MMP16,Tier 1,Y,Y,N
ENSG00000156222,SLC28A1,Tier 1,N,N,Y
ENSG00000156427,FGF18,Tier 1,Y,Y,N
ENSG00000156711,MAPK13,Tier 1,Y,N,N
ENSG00000156738,MS4A1,Tier 1,N,Y,N
ENSG00000156873,PHKG2,Tier 1,Y,N,N
ENSG00000157005,SST,Tier 1,N,Y,N
ENSG00000157017,GHRL,Tier 1,Y,Y,N
ENSG00000157103,SLC6A1,Tier 1,Y,N,N
ENSG00000157219,HTR5A,Tier 1,Y,Y,N
ENSG00000157227,MMP14,Tier 1,Y,N,N
ENSG00000157326,DHRS4,Tier 1,N,N,Y
ENSG00000157379,DHRS1,Tier 1,N,N,Y
ENSG00000157388,CACNA1D,Tier 1,Y,N,N
ENSG00000157404,KIT,Tier 1,Y,Y,N
ENSG00000157456,CCNB2,Tier 1,Y,N,N
ENSG00000157540,DYRK1A,Tier 1,Y,N,N
ENSG00000157764,BRAF,Tier 1,Y,N,N
ENSG00000157765,SLC34A2,Tier 1,N,Y,N
ENSG00000158104,HPD,Tier 1,Y,N,N
ENSG00000158125,XDH,Tier 1,Y,Y,Y
ENSG00000158296,SLC13A3,Tier 1,N,N,Y
ENSG00000158748,HTR6,Tier 1,Y,Y,N
ENSG00000158825,CDA,Tier 1,Y,Y,Y
ENSG00000159110,IFNAR2,Tier 1,N,Y,N
ENSG00000159128,IFNGR2,Tier 1,N,Y,N
ENSG00000159131,GART,Tier 1,Y,N,N
ENSG00000159164,SV2A,Tier 1,Y,N,N
ENSG00000159228,CBR1,Tier 1,Y,N,Y
ENSG00000159231,CBR3,Tier 1,N,N,Y
ENSG00000159423,ALDH4A1,Tier 1,Y,N,Y
ENSG00000159640,ACE,Tier 1,Y,Y,N
ENSG00000159958,TNFRSF13C,Tier 1,N,Y,N
ENSG00000160013,PTGIR,Tier 1,Y,N,N
ENSG00000160179,ABCG1,Tier 1,N,Y,Y
ENSG00000160223,ICOSLG,Tier 1,N,Y,N
ENSG00000160255,ITGB2,Tier 1,Y,Y,N
ENSG00000160396,HIPK4,Tier 1,Y,N,N
ENSG00000160469,BRSK1,Tier 1,Y,N,N
ENSG00000160551,TAOK1,Tier 1,Y,N,N
ENSG00000160584,SIK3,Tier 1,Y,N,N
ENSG00000160683,CXCR5,Tier 1,Y,Y,N
ENSG00000160712,IL6R,Tier 1,N,Y,N
ENSG00000160716,CHRNB2,Tier 1,Y,Y,N
ENSG00000160752,FDPS,Tier 1,Y,N,N
ENSG00000160789,LMNA,Tier 1,Y,N,N
ENSG00000160791,CCR5,Tier 1,Y,Y,N
ENSG00000160801,PTH1R,Tier 1,Y,Y,N
ENSG00000160867,FGFR4,Tier 1,Y,Y,N
ENSG00000160868,CYP3A4,Tier 1,Y,N,Y
ENSG00000160870,CYP3A7,Tier 1,Y,N,Y
ENSG00000160882,CYP11B1,Tier 1,Y,N,Y
ENSG00000160951,PTGER1,Tier 1,Y,N,N
ENSG00000161509,GRIN2C,Tier 1,Y,N,N
ENSG00000161638,ITGA5,Tier 1,Y,Y,N
ENSG00000161905,ALOX15,Tier 1,Y,N,N
ENSG00000162009,SSTR5,Tier 1,Y,Y,N
ENSG00000162302,RPS6KA4,Tier 1,Y,N,N
ENSG00000162409,PRKAA2,Tier 1,Y,N,N
ENSG00000162434,JAK1,Tier 1,Y,N,N
ENSG00000162496,DHRS3,Tier 1,N,N,Y
ENSG00000162733,DDR2,Tier 1,Y,Y,N
ENSG00000162736,NCSTN,Tier 1,Y,N,N
ENSG00000163131,CTSS,Tier 1,Y,N,N
ENSG00000163235,TGFA,Tier 1,N,Y,N
ENSG00000163285,GABRG1,Tier 1,Y,Y,N
ENSG00000163288,GABRB1,Tier 1,Y,Y,N
ENSG00000163349,HIPK1,Tier 1,Y,N,N
ENSG00000163393,SLC22A15,Tier 1,Y,N,Y
ENSG00000163394,CCKAR,Tier 1,Y,Y,N
ENSG00000163399,ATP1A1,Tier 1,Y,N,N
ENSG00000163406,SLC15A2,Tier 1,Y,N,Y
ENSG00000163464,CXCR1,Tier 1,Y,Y,N
ENSG00000163485,ADORA1,Tier 1,Y,N,N
ENSG00000163513,TGFBR2,Tier 1,Y,Y,N
ENSG00000163517,HDAC11,Tier 1,Y,N,N
ENSG00000163545,NUAK2,Tier 1,Y,N,N
ENSG00000163558,PRKCI,Tier 1,Y,N,N
ENSG00000163586,FABP1,Tier 1,Y,N,N
ENSG00000163599,CTLA4,Tier 1,N,Y,N
ENSG00000163600,ICOS,Tier 1,N,Y,N
ENSG00000163673,DCLK3,Tier 1,Y,N,N
ENSG00000163823,CCR1,Tier 1,Y,Y,N
ENSG00000163873,GRIK3,Tier 1,Y,N,N
ENSG00000163932,PRKCD,Tier 1,Y,N,N
ENSG00000164024,METAP1,Tier 1,Y,N,Y
ENSG00000164078,MST1R,Tier 1,Y,Y,N
ENSG00000164082,GRM2,Tier 1,Y,N,N
ENSG00000164129,NPY5R,Tier 1,Y,Y,N
ENSG00000164136,IL15,Tier 1,N,Y,N
ENSG00000164171,ITGA2,Tier 1,Y,Y,N
ENSG00000164270,HTR4,Tier 1,Y,Y,N
ENSG00000164344,KLKB1,Tier 1,Y,Y,N
ENSG00000164400,CSF2,Tier 1,N,Y,N
ENSG00000164418,GRIK2,Tier 1,Y,N,N
ENSG00000164535,DAGLB,Tier 1,Y,N,N
ENSG00000164543,STK17A,Tier 1,Y,N,N
ENSG00000164647,STEAP1,Tier 1,N,Y,N
ENSG00000164690,SHH,Tier 1,Y,Y,N
ENSG00000164733,CTSB,Tier 1,Y,N,N
ENSG00000164742,ADCY1,Tier 1,Y,N,N
ENSG00000164776,PHKG1,Tier 1,Y,N,N
ENSG00000164850,GPER1,Tier 1,Y,Y,N
ENSG00000164867,NOS3,Tier 1,Y,N,Y
ENSG00000164879,CA3,Tier 1,Y,N,N
ENSG00000164885,CDK5,Tier 1,Y,N,N
ENSG00000164904,ALDH7A1,Tier 1,Y,N,Y
ENSG00000165025,SYK,Tier 1,Y,N,N
ENSG00000165029,ABCA1,Tier 1,Y,Y,Y
ENSG00000165092,ALDH1A1,Tier 1,Y,N,Y
ENSG00000165240,ATP7A,Tier 1,N,N,Y
ENSG00000165304,MELK,Tier 1,Y,N,N
ENSG00000165409,TSHR,Tier 1,Y,Y,N
ENSG00000165646,SLC18A2,Tier 1,Y,N,N
